name,model_name,feature_set,n_qubits,layers,train_samples,test_samples,val_f1,threshold,precision,recall,f1,roc_auc,pr_auc,train_positives,condition
logistic_20pos,logistic,lambda12,0,0,100,1500,0.9173419773095624,0.5458681092486221,0.889967637540453,0.9166666666666666,0.90311986863711,0.9906250000000001,0.958938473859033,20,clean
mlp_20pos,mlp,lambda12,0,1,100,1500,0.9297124600638977,0.3400599745971576,0.9028213166144201,0.96,0.9305331179321487,0.9933277777777778,0.9699674271865154,20,clean
qpp_qnn2_20pos,qpp_qnn2,lambda12,2,2,100,1500,0.8321377331420373,0.3993230008834226,0.7447368421052631,0.9433333333333334,0.8323529411764706,0.9425194444444446,0.7340880501560266,20,clean
logistic_50pos,logistic,lambda12,0,0,250,1500,0.9179229480737019,0.6401910225801807,0.9154929577464789,0.8666666666666667,0.8904109589041096,0.9905638888888889,0.9587280167963261,50,clean
mlp_50pos,mlp,lambda12,0,1,250,1500,0.9328968903436988,0.4626293007408287,0.9102564102564102,0.9466666666666667,0.9281045751633987,0.9924611111111111,0.9653003109366591,50,clean
qpp_qnn2_50pos,qpp_qnn2,lambda12,2,2,250,1500,0.8254437869822485,0.5917923050312912,0.7543859649122807,0.86,0.8037383177570093,0.9622666666666667,0.8079982044316563,50,clean
logistic_100pos,logistic,lambda12,0,0,500,1500,0.922824302134647,0.6761823705163039,0.9130434782608695,0.91,0.9115191986644408,0.9919083333333334,0.9635085836984089,100,clean
mlp_100pos,mlp,lambda12,0,1,500,1500,0.932258064516129,0.37425389081064725,0.9,0.96,0.9290322580645162,0.9929888888888889,0.9680210455038415,100,clean
qpp_qnn2_100pos,qpp_qnn2,lambda12,2,2,500,1500,0.82689556509299,0.5838917880488471,0.7427821522309711,0.9433333333333334,0.8311306901615272,0.9646833333333333,0.842902678491033,100,clean
logistic_200pos,logistic,lambda12,0,0,1000,1500,0.922824302134647,0.6393290570439275,0.9130434782608695,0.91,0.9115191986644408,0.9919916666666666,0.9638127207563669,200,clean
mlp_200pos,mlp,lambda12,0,1,1000,1500,0.9367909238249594,0.3271703854232385,0.9056603773584906,0.96,0.9320388349514563,0.9930583333333334,0.9695841183156823,200,clean
qpp_qnn2_200pos,qpp_qnn2,lambda12,2,2,1000,1500,0.8627450980392157,0.6511672225922426,0.7749287749287749,0.9066666666666666,0.8356374807987711,0.9772833333333335,0.9006448367079782,200,clean
