name,model_name,feature_set,n_qubits,layers,train_samples,test_samples,val_f1,threshold,precision,recall,f1,roc_auc,pr_auc,ablation
1q_scalar_c4_L2_Z,qpp_qnn1,scalar_c4,1,2,4500,1500,0.9272151898734177,0.6820652652960935,0.8678678678678678,0.9633333333333334,0.9131121642969984,0.9928,0.9681688894563413,qubits
2q_lambda12_linear_L1_Z_ZZ,qpp_qnn2,lambda12,2,1,4500,1500,0.9079563182527302,0.5158741622370047,0.8662613981762918,0.95,0.9062003179650239,0.9890055555555556,0.9556133752305294,layers
2q_lambda12_linear_L2_Z_ZZ,qpp_qnn2,lambda12,2,2,4500,1500,0.931637519872814,0.4764444445397606,0.8837920489296636,0.9633333333333334,0.9218500797448166,0.9917027777777778,0.9471257067722019,layers
2q_lambda12_linear_L3_Z_ZZ,qpp_qnn2,lambda12,2,3,4500,1500,0.9238410596026491,0.7759114303432533,0.9238410596026491,0.93,0.9269102990033222,0.9880194444444445,0.9264920418932475,layers
2q_lambda12_none_Z_ZZ,qpp_qnn2,lambda12,2,2,4500,1500,0.9284578696343402,0.5034500505060061,0.8909657320872274,0.9533333333333334,0.9210950080515298,0.9907527777777778,0.9455038469255765,entanglement
2q_lambda12_linear_01_Z_ZZ,qpp_qnn2,lambda12,2,2,4500,1500,0.930379746835443,0.424899671704236,0.8810975609756098,0.9633333333333334,0.9203821656050956,0.9918027777777778,0.9474373555969232,entanglement
2q_lambda12_bidirectional_Z_ZZ,qpp_qnn2,lambda12,2,2,4500,1500,0.9306930693069307,0.7665365044643577,0.9144736842105263,0.9266666666666666,0.9205298013245033,0.9907111111111111,0.9554235896138369,entanglement
2q_lambda12_linear_z_only,qpp_qnn2,lambda12,2,2,4500,1500,0.9174917491749175,0.5961330588020884,0.8976897689768977,0.9066666666666666,0.9021558872305141,0.9882555555555554,0.9424423276602975,readout
2q_lambda12_linear_z_z_zz,qpp_qnn2,lambda12,2,2,4500,1500,0.9297124600638977,0.5889288864469712,0.8947368421052632,0.9633333333333334,0.92776886035313,0.9908027777777778,0.9463061492985564,readout
2q_lambda12_linear_xyz_zz,qpp_qnn2,lambda12,2,2,4500,1500,0.9315960912052117,0.6114901904544913,0.9129032258064517,0.9433333333333334,0.9278688524590164,0.9927416666666666,0.9671448411890676,readout
2q_logS_eta_none_Z_ZZ,qpp_qnn2,logS_eta,2,2,4500,1500,0.922824302134647,0.8171274750773063,0.8980891719745223,0.94,0.9185667752442996,0.9923055555555557,0.9576424194406886,entanglement
2q_logS_eta_linear_01_Z_ZZ,qpp_qnn2,logS_eta,2,2,4500,1500,0.9240506329113924,0.6676300316603151,0.863905325443787,0.9733333333333334,0.9153605015673981,0.9922388888888888,0.948741064227166,entanglement
2q_logS_eta_bidirectional_Z_ZZ,qpp_qnn2,logS_eta,2,2,4500,1500,0.9235569422776911,0.5576688227615273,0.8630952380952381,0.9666666666666667,0.9119496855345912,0.9929444444444444,0.9653178210290573,entanglement
2q_logS_eta_linear_z_only,qpp_qnn2,logS_eta,2,2,4500,1500,0.9272151898734177,0.49541617397810794,0.863905325443787,0.9733333333333334,0.9153605015673981,0.9914444444444445,0.948713042542045,readout
2q_logS_eta_linear_z_z_zz,qpp_qnn2,logS_eta,2,2,4500,1500,0.9011345218800648,0.6109133856701418,0.8372781065088757,0.9433333333333334,0.8871473354231975,0.9893722222222223,0.9430138621990698,readout
2q_logS_eta_linear_xyz_zz,qpp_qnn2,logS_eta,2,2,4500,1500,0.9240506329113924,0.594260462448152,0.8712574850299402,0.97,0.917981072555205,0.9927333333333334,0.9598279609955145,readout
