feature_dim,method,saltpepper_value,train_samples,test_samples,threshold,precision,recall,f1,pr_auc
5D,MLP,0.0,4500,1500,0.27476730942726135,0.933993399339934,0.9433333333333334,0.9386401326699834,0.9813959008655981
5D,QNN,0.0,160,1500,0.4852156341075897,0.7288135593220338,0.86,0.7889908256880734,0.727066241745518
5D,MLP,0.01,4500,1500,0.27476730942726135,0.6951219512195121,0.95,0.8028169014084507,0.9108383497538072
5D,QNN,0.01,160,1500,0.4852156341075897,0.6865284974093264,0.8833333333333333,0.7725947521865889,0.6702383323675153
5D,MLP,0.02,4500,1500,0.27476730942726135,0.5207207207207207,0.9633333333333334,0.6760233918128655,0.8269161184491995
5D,QNN,0.02,160,1500,0.4852156341075897,0.6394230769230769,0.8866666666666667,0.7430167597765364,0.6119191850612754
5D,MLP,0.03,4500,1500,0.27476730942726135,0.4309063893016345,0.9666666666666667,0.5960945529290853,0.7110648198478766
5D,QNN,0.03,160,1500,0.4852156341075897,0.5481927710843374,0.91,0.6842105263157895,0.5664381721715229
5D,MLP,0.05,4500,1500,0.27476730942726135,0.3253012048192771,0.99,0.4896949711459192,0.5968840198966701
5D,QNN,0.05,160,1500,0.4852156341075897,0.40294117647058825,0.9133333333333333,0.5591836734693878,0.5097546510104862
5D,MLP,0.08,4500,1500,0.27476730942726135,0.25170068027210885,0.9866666666666667,0.4010840108401084,0.4449890827809306
5D,QNN,0.08,160,1500,0.4852156341075897,0.2931769722814499,0.9166666666666666,0.44426494345718903,0.4045815179935249
5D,MLP,0.1,4500,1500,0.27476730942726135,0.23166926677067082,0.99,0.3754740834386852,0.4646998548684138
5D,QNN,0.1,160,1500,0.4852156341075897,0.24436429215509467,0.9033333333333333,0.3846699787083038,0.3237103147481907
5D,MLP,0.15,4500,1500,0.27476730942726135,0.20706371191135733,0.9966666666666667,0.34288990825688076,0.3696705628488112
5D,QNN,0.15,160,1500,0.4852156341075897,0.21630094043887146,0.92,0.350253807106599,0.24886526067311304
8D,MLP,0.0,4500,1500,0.050817374140024185,0.8895705521472392,0.9666666666666667,0.9265175718849841,0.9756130275391565
8D,QNN,0.0,220,1500,0.7114330530166626,0.7948717948717948,0.8266666666666667,0.8104575163398693,0.8289157985691817
8D,MLP,0.01,4500,1500,0.050817374140024185,0.6628959276018099,0.9766666666666667,0.7897574123989218,0.8788094442714277
8D,QNN,0.01,220,1500,0.7114330530166626,0.6816976127320955,0.8566666666666667,0.7592319054652881,0.6909658059633155
8D,MLP,0.02,4500,1500,0.050817374140024185,0.4867109634551495,0.9766666666666667,0.6496674057649667,0.8053954742050881
8D,QNN,0.02,220,1500,0.7114330530166626,0.6187050359712231,0.86,0.7196652719665272,0.6270952113751934
8D,MLP,0.03,4500,1500,0.050817374140024185,0.40437158469945356,0.9866666666666667,0.5736434108527132,0.6831833235602126
8D,QNN,0.03,220,1500,0.7114330530166626,0.5224171539961013,0.8933333333333333,0.6592865928659286,0.5197748709711483
8D,MLP,0.05,4500,1500,0.050817374140024185,0.2948717948717949,0.9966666666666667,0.4550989345509893,0.5774975272427513
8D,QNN,0.05,220,1500,0.7114330530166626,0.44958677685950416,0.9066666666666666,0.6011049723756906,0.4194451382375397
8D,MLP,0.08,4500,1500,0.050817374140024185,0.23655063291139242,0.9966666666666667,0.38235294117647056,0.4600808845779586
8D,QNN,0.08,220,1500,0.7114330530166626,0.3402439024390244,0.93,0.4982142857142857,0.3043817986161552
8D,MLP,0.1,4500,1500,0.050817374140024185,0.21888726207906295,0.9966666666666667,0.3589435774309724,0.42156410816846096
8D,QNN,0.1,220,1500,0.7114330530166626,0.30598669623059865,0.92,0.45923460898502494,0.2591003932918126
8D,MLP,0.15,4500,1500,0.050817374140024185,0.20380434782608695,1.0,0.33860045146726864,0.3390095099032927
8D,QNN,0.15,220,1500,0.7114330530166626,0.2488646684831971,0.9133333333333333,0.39114917915774444,0.22983953396465848
